ticker,date,period,period_label,fiscal_year,currency,cf_net_inc,cf_non_cash_items_detailed,cf_def_inc_tax,cf_other_non_cash_adj_less_detailed,cf_chng_non_cash_work_cap,cf_acct_rcv_unbilled_rev,cf_change_in_inventories,cf_inc_dec_in_ot_op_ast_liab_detail,cf_cash_from_oper,cf_acquis_fxd_and_intang_detailed,cf_purchase_of_fixed_prod_assets,cf_acquisition_of_intang_assets,cf_net_chg_in_lt_invest_detailed,cf_decr_invest,cf_incr_invest,cf_nt_csh_rcvd_pd_for_acquis_div,cf_cash_for_divestitures,cf_cash_for_acquis_subsidiaries,cf_other_investing_act_detailed,cf_cash_from_inv_act,cf_dvd_paid,cf_nt_csh_proc_pymt_debt,cf_proc_debt_and_capital_lease,cf_pymt_debt_and_capital_lease,cf_proc_fr_repurch_eqty_detailed,cf_incr_cap_stock,cf_decr_cap_stock,cf_other_financing_act_excl_fx,cf_cash_from_fin_act,cf_effect_foreign_exchanges,cf_net_chng_cash,cf_cap_expenditures,ebitda,ebitda_margin,cf_net_cash_paid_for_aquis,cf_free_cash_flow,cf_free_cash_flow_firm,free_cash_flow_equity,cash_flow_to_net_inc,free_cash_flow_per_sh,pr_to_free_cash_flow,cf_disp_fxd_and_intangibles_detailed,cf_disposal_of_fixed_prod_assets,company,cf_depr_amort,cf_asset_impairment_charge,cf_change_in_accounts_payable,cf_change_in_prepaid_assets
MGDDY,2015-12-31,annual,2015,2015,USD,1290930000.0,1673880000.0000002,783660000.0000001,890220000.0000001,26640000.000000004,-73260000.0,66600000.00000001,33300000.000000004,2991450000.0000005,-2001330000.0000002,-1851480000.0000002,-149850000.0,-24420000.000000004,135420000.0,-159840000.0,-200910000.00000003,,-200910000.00000003,71040000.0,-2155620000.0,-513930000.00000006,580530000.0,935730000.0000001,-355200000.00000006,-429570000.00000006,71040000.0,-500610000.00000006,-27750000.000000004,-390720000.00000006,-17760000.0,445110000.00000006,-2001330000.0000002,2883780000.0000005,12.255295061087788,200910000.00000003,990120000.0000001,1226341540.9309793,1720500000.0000002,2.3073630136986303,0.6035705392618576,3.7444609089094136,,,Michelin,,,,
MGDDY,2014-12-31,annual,2014,2014,USD,1371230000.0,1995000000.0,824600000.0,1170400000.0,-11970000.0,311220000.0,-94430000.0,-228760000.0,3354260000.0,-2504390000.0,-2330160000.0,-174230000.0,226100000.0,254030000.0,-27930000.0,-537320000.0,,-537320000.0,39900000.0,-2775710000.0,-617120000.0,-497420000.0,162260000.0,-659680000.0,-54530000.0,61180000.0,-115710000.0,71820000.0,-1097250000.0,-7980000.0,-518700000.0,-2504390000.0,2670640000.0,10.269523858231473,537320000.0,849870000.0,1082422634.766808,526680000.0,2.4461687681862267,0.4302010567192154,3.2679231031794367,,,Michelin,,,,
MGDDY,2013-12-31,annual,2013,2013,USD,1498910000.0,2072140000.0,764750000.0,1307390000.0,537320000.0,712880000.0,357770000.0,-533330000.0,4108370000.0,-2633400000.0,-2449860000.0,-183540000.0,-285950000.0,19950000.0,-305900000.0,1330000.0,1330000.0,,115710000.0,-2802310000.0,-251370000.0,-1118530000.0,111720000.0,-1230250000.0,-144970000.0,35910000.0,-180880000.0,-163590000.0,-1678460000.0,-19950000.0,-372400000.0,-2633400000.0,2953930000.0,10.969526349582654,-1330000.0,1474970000.0,1718036486.4864867,539980000.0,2.740905057675244,0.7526645274434111,2.9304775231146802,,,Michelin,,,,
MGDDY,2012-12-31,annual,2012,2012,USD,1923390000.0,1501560000.0,897840000.0,603720000.0,349590000.0,527610000.0,180600000.0,-358620000.0,3774540000.0,-2574840000.0,-2443260000.0,-131580000.0,64500000.0,81270000.0,-16770000.0,-113520000.0,,-113520000.0,123840000.0,-2307810000.0,-372810000.0,-686280000.0,642420000.0,-1328700000.0,36120000.0,36120000.0,,-96750000.0,-1119720000.0,-5160000.0,347010000.0,-2574840000.0,3235320000.0,11.679240011176306,113520000.0,1199700000.0,1500477037.0370371,837210000.0,1.963758389261745,0.6422332591197123,2.786835522445767,192210000.0,192210000.0,Michelin,,,,
MGDDY,2011-12-31,annual,2011,2011,USD,2032179999.9999998,1056399999.9999999,742260000.0,314140000.0,-1426140000.0,-397540000.0,-1120340000.0,91740000.0,1662440000.0,-2378290000.0,-2228170000.0,-150120000.0,1273240000.0,1305210000.0,-31969999.999999996,-2780000.0,12510000.0,-15289999.999999998,48650000.0,-991069999.9999999,-191820000.0,-429509999.99999994,83400000.0,-512909999.99999994,16679999.999999998,16679999.999999998,,-68110000.0,-672760000.0,5560000.0,-1390000.0,-2378290000.0,2666020000.0,9.257203532989045,2780000.0,-715850000.0,-478626583.1663326,-927129999.9999999,0.8180574555403557,-0.36104474431021527,2.893023736234828,68110000.0,68110000.0,Michelin,,,,
GT,2025-12-31,annual,2025,2025,USD,-1700000000.0,1146000000.0,1357000000.0,-885000000.0,305000000.0,215000000.0,12000000.0,298000000.0,796000000.0,,,,4000000.0,4000000.0,,,,,993000000.0,997000000.0,,-1759000000.0,17037000000.0,-18796000000.0,-6000000.0,,-6000000.0,-5000000.0,-1770000000.0,23000000.0,23000000.0,,1697000000.0,9.283369803063458,,796000000.0,,-963000000.0,-0.46252178965717605,,,,,Goodyear,1045000000.0,674000000.0,-220000000.0,
GT,2024-12-31,annual,2024,2024,USD,35000000.0,-229000000.0,-65000000.0,-289000000.0,-157000000.0,127000000.0,-106000000.0,-124000000.0,698000000.0,,,,6000000.0,6000000.0,,,,,-1027000000.0,-1005000000.0,,264000000.0,15746000000.0,-15482000000.0,-3000000.0,,-3000000.0,-36000000.0,225000000.0,-39000000.0,-82000000.0,,1953000000.0,10.345375569445917,,698000000.0,838538461.5384614,978000000.0,15.173913043478262,2.43205574912892,3.713467048710602,16000000.0,16000000.0,Goodyear,1049000000.0,125000000.0,-54000000.0,
GT,2023-12-31,annual,2023,2023,USD,-731000000.0,324000000.0,-230000000.0,324000000.0,438000000.0,-59000000.0,933000000.0,47000000.0,1032000000.0,,,,-8000000.0,100000000.0,-108000000.0,,,,-1126000000.0,-1035000000.0,,-343000000.0,10886000000.0,-11229000000.0,-2000000.0,,-2000000.0,12000000.0,-333000000.0,10000000.0,-336000000.0,,1671000000.0,8.327519186683944,,1032000000.0,,788000000.0,-1.4156378600823045,3.6210526315789475,3.9546511627906975,99000000.0,99000000.0,Goodyear,1001000000.0,230000000.0,-483000000.0,
GT,2022-12-31,annual,2022,2022,USD,209000000.0,41000000.0,28000000.0,13000000.0,-693000000.0,-333000000.0,-1042000000.0,103000000.0,521000000.0,,,,32000000.0,107000000.0,-75000000.0,,,,-1054000000.0,-914000000.0,,582000000.0,11824000000.0,-11242000000.0,-6000000.0,,-6000000.0,-1000000.0,575000000.0,-35000000.0,182000000.0,,2018000000.0,9.699591444364335,,521000000.0,757238095.2380952,1211000000.0,2.5792079207920793,1.8345070422535212,5.571785028790787,108000000.0,108000000.0,Goodyear,964000000.0,,579000000.0,
GT,2021-12-31,annual,2021,2021,USD,780000000.0,-488000000.0,-471000000.0,-17000000.0,-113000000.0,-300000000.0,-982000000.0,182000000.0,1062000000.0,,,,7000000.0,125000000.0,-118000000.0,-1856000000.0,,-1856000000.0,-944000000.0,-2793000000.0,,1406000000.0,10957000000.0,-9551000000.0,9000000.0,9000000.0,,-106000000.0,1309000000.0,-38000000.0,-422000000.0,,1970000000.0,11.271312507151848,1856000000.0,1062000000.0,,2468000000.0,1.3900523560209423,4.068965517241379,5.299887005649718,,,Goodyear,883000000.0,,987000000.0,
GT,2020-12-31,annual,2020,2020,USD,-1250000000.0,319000000.0,23000000.0,-34000000.0,1187000000.0,132000000.0,713000000.0,221000000.0,1115000000.0,,,,,96000000.0,-96000000.0,,,,-667000000.0,-667000000.0,-37000000.0,250000000.0,7902000000.0,-7652000000.0,,,,-10000000.0,203000000.0,-1000000.0,651000000.0,,651000000.0,5.283662040418797,,1115000000.0,,1365000000.0,-0.8891547049441786,4.764957264957265,2.289632286995516,,,Goodyear,859000000.0,330000000.0,121000000.0,
GT,2019-12-31,annual,2019,2019,USD,-297000000.0,420000000.0,323000000.0,97000000.0,289000000.0,71000000.0,6000000.0,23000000.0,1207000000.0,,,,-7000000.0,106000000.0,-113000000.0,,,,-793000000.0,-800000000.0,-148000000.0,-119000000.0,7822000000.0,-7941000000.0,1000000.0,1000000.0,,-41000000.0,-307000000.0,1000000.0,100000000.0,,1615000000.0,10.95286537809427,,1207000000.0,636491525.4237288,1088000000.0,-3.8810289389067525,5.180257510729613,3.0027464788732394,,,Goodyear,795000000.0,,189000000.0,
GT,2018-12-31,annual,2018,2018,USD,708000000.0,-309000000.0,131000000.0,-440000000.0,-261000000.0,-172000000.0,-171000000.0,-115000000.0,916000000.0,,,,,68000000.0,-68000000.0,,,,-867000000.0,-867000000.0,-138000000.0,135000000.0,8399000000.0,-8264000000.0,-216000000.0,4000000.0,-220000000.0,-24000000.0,-243000000.0,-43000000.0,-194000000.0,,1980000000.0,12.794830371567043,,916000000.0,1140795252.2255192,1051000000.0,1.3217893217893217,3.8649789029535864,5.325316593886463,,,Goodyear,778000000.0,,197000000.0,
GT,2017-12-31,annual,2017,2017,USD,365000000.0,283000000.0,366000000.0,-83000000.0,-271000000.0,-147000000.0,-44000000.0,-100000000.0,1158000000.0,,,,,83000000.0,-83000000.0,,,,-879000000.0,-879000000.0,-110000000.0,129000000.0,7517000000.0,-7388000000.0,-386000000.0,14000000.0,-400000000.0,-48000000.0,-415000000.0,57000000.0,-136000000.0,,2199000000.0,14.300578786499319,,1158000000.0,1297265375.8542142,1287000000.0,3.346820809248555,4.650602409638554,7.0590932642487045,,,Goodyear,781000000.0,,20000000.0,
GT,2016-12-31,annual,2016,2016,USD,1284000000.0,-179000000.0,-229000000.0,50000000.0,-275000000.0,211000000.0,-172000000.0,-108000000.0,1557000000.0,,,,-12000000.0,60000000.0,-72000000.0,,,,-967000000.0,-979000000.0,-82000000.0,-256000000.0,5405000000.0,-5661000000.0,-487000000.0,13000000.0,-500000000.0,-51000000.0,-876000000.0,-15000000.0,-298000000.0,,2541000000.0,16.76342525399129,,1557000000.0,,1301000000.0,1.2318037974683544,5.920152091254753,5.273872832369943,,,Goodyear,727000000.0,,-206000000.0,
GT,2015-12-31,annual,2015,2015,USD,376000000.0,528000000.0,79000000.0,449000000.0,126000000.0,-31000000.0,-89000000.0,102000000.0,1728000000.0,,,,-8000000.0,69000000.0,-77000000.0,-320000000.0,,-320000000.0,-928000000.0,-1256000000.0,-68000000.0,-477000000.0,2922000000.0,-3399000000.0,-127000000.0,53000000.0,-180000000.0,-354000000.0,-1026000000.0,-125000000.0,-554000000.0,,2363000000.0,14.370856899592532,320000000.0,1728000000.0,1998868421.0526316,1251000000.0,5.628664495114006,6.4237918215613385,5.161406250000001,,,Goodyear,698000000.0,,144000000.0,
GT,2014-12-31,annual,2014,2014,USD,2521000000.0,-3189000000.0,-1970000000.0,-1219000000.0,276000000.0,75000000.0,-35000000.0,54000000.0,340000000.0,,,,23000000.0,95000000.0,-72000000.0,,,,-874000000.0,-851000000.0,-75000000.0,309000000.0,1888000000.0,-1579000000.0,-195000000.0,39000000.0,-234000000.0,-50000000.0,-11000000.0,-313000000.0,-522000000.0,,2244000000.0,12.371816076744956,,340000000.0,,142000000.0,0.13866231647634583,1.2686567164179106,23.444205882352943,,,Goodyear,732000000.0,,182000000.0,
GT,2013-12-31,annual,2013,2013,USD,675000000.0,-1085000000.0,-34000000.0,-1051000000.0,626000000.0,79000000.0,366000000.0,-32000000.0,938000000.0,,,,-16000000.0,89000000.0,-105000000.0,,,,-1120000000.0,-1136000000.0,-41000000.0,1143000000.0,1944000000.0,-801000000.0,22000000.0,26000000.0,-4000000.0,-42000000.0,1082000000.0,-169000000.0,884000000.0,,2082000000.0,10.655066530194473,,938000000.0,1263461254.612546,2052000000.0,1.4912559618441972,3.813008130081301,7.043123667377399,,,Goodyear,722000000.0,,213000000.0,
GT,2012-12-31,annual,2012,2012,USD,237000000.0,-376000000.0,16000000.0,-392000000.0,490000000.0,291000000.0,619000000.0,-227000000.0,1038000000.0,,,,-29000000.0,28000000.0,-57000000.0,,,,-1094000000.0,-1123000000.0,-29000000.0,-265000000.0,3608000000.0,-3873000000.0,3000000.0,3000000.0,,-135000000.0,-426000000.0,20000000.0,-511000000.0,,1798000000.0,8.565167682926829,,1038000000.0,1230293181.8181818,744000000.0,4.89622641509434,4.236734693877551,3.2861946050096336,,,Goodyear,687000000.0,,-193000000.0,
GT,2011-12-31,annual,2011,2011,USD,417000000.0,-103000000.0,,-103000000.0,-256000000.0,-337000000.0,-1009000000.0,10000000.0,773000000.0,,,,-4000000.0,,-4000000.0,,,,-898000000.0,-902000000.0,-15000000.0,562000000.0,3350000000.0,-2788000000.0,8000000.0,8000000.0,,439000000.0,994000000.0,-98000000.0,865000000.0,,1839000000.0,8.077480563974174,,773000000.0,995669902.9126214,1813000000.0,2.253644314868805,3.168032786885246,4.967749029754205,,,Goodyear,715000000.0,,1080000000.0,
