ticker,date,period,period_label,fiscal_year,currency,is_sales_revenue_turnover,is_sales_and_services_revenues,is_cogs,is_cog_and_services_sold,is_gross_profit,is_operating_expn,is_sg_and_a_expense,is_operating_expenses_r_and_d,is_other_operating_expenses,is_oper_income,is_nonop_income_loss,is_net_interest_expense,is_int_expense,is_int_income,is_other_nonop_income_loss,is_pretax_income,is_inc_tax_exp,is_inc_bef_xo_item,is_xo_gl_net_of_tax,is_extraord_items_and_acctg_chng,is_ni_including_minority_int_ratio,is_min_noncontrol_interest_credits,is_net_income,is_earn_for_common,ebitda,ebitda_margin,ebita,ebit,gross_margin,oper_margin,profit_margin,is_depr_exp,is_avg_num_sh_for_eps,eps,eps_cont_ops,is_sh_for_diluted_eps,diluted_eps,dil_eps_cont_ops,div_per_shr,company,is_tot_cash_pfd_dvd,is_discontinued_operations
MGDDY,2015-12-31,annual,2015,2015,USD,23530890000.000004,23530890000.000004,15804180000.000002,15804180000.000002,7726710000.000001,4842930000.0,4035960000.0000005,764790000.0000001,42180000.0,2883780000.0000005,809190000.0000001,369630000.00000006,379620000.00000006,9990000.0,439560000.00000006,2074590000.0000002,783660000.0000001,1290930000.0,-11100000.000000002,-11100000.000000002,1302030000.0,5550000.000000001,1296480000.0,1296480000.0,2883780000.0000005,12.255295061087788,1377510000.0000002,2883780000.0000005,32.83645454974291,12.255295061087788,5.509693853483655,1506270000.0000002,1640437920.0000002,0.7903255491679929,0.7869423062349107,1703778960.0000002,0.7609437787634142,0.757686313957064,0.31328829560340815,Michelin,,
MGDDY,2014-12-31,annual,2014,2014,USD,26005490000.0,26005490000.0,17687670000.0,17687670000.0,8317820000.0,5647180000.0,4572540000.0,872480000.0,202160000.0,2670640000.0,474810000.0,355110000.0,372400000.0,17290000.0,119700000.0,2195830000.0,824600000.0,1371230000.0,,,1371230000.0,,1371230000.0,1371230000.0,2670640000.0,10.269523858231473,1186360000.0,2670640000.0,31.984861658057586,10.269523858231473,5.272848156293152,1484280000.0,1975518160.0,0.6941115641275604,0.6941115641275604,2053605120.0,0.6677184365414905,0.6677184365414905,0.3123838659119185,Michelin,,
MGDDY,2013-12-31,annual,2013,2013,USD,26928510000.0,26928510000.0,18408530000.0,18408530000.0,8519980000.0,5566050000.0,4635050000.0,855190000.0,75810000.0,2953930000.0,690270000.0,352450000.0,367080000.0,14630000.0,337820000.0,2263660000.0,764750000.0,1498910000.0,,,1498910000.0,,1498910000.0,1498910000.0,2953930000.0,10.969526349582654,1556100000.0,2953930000.0,31.639255198300983,10.969526349582654,5.566256729392008,1397830000.0,1959664560.0,0.764880903903268,0.764880903903268,2040528560.0,0.7345694784100449,0.7345694784100449,0.12827195282849838,Michelin,,
MGDDY,2012-12-31,annual,2012,2012,USD,27701460000.0,27701460000.0,19045560000.0,19045560000.0,8655900000.0,5420580000.0,4561440000.0,802380000.0,56760000.0,3235320000.0,414090000.0,412800000.0,441180000.0,28380000.0,1290000.0,2821230000.0,897840000.0,1923390000.0,2580000.0,2580000.0,1920810000.0,-1290000.0,1922100000.0,1922100000.0,3235320000.0,11.679240011176306,1916940000.0,3235320000.0,31.24708950358573,11.679240011176306,6.938623451615908,1318380000.0,1868012880.0,1.0289543613853456,1.0296449347822485,1945794720.0,0.9878226003203462,0.9884855685084807,0.19957571170494284,Michelin,,
MGDDY,2011-12-31,annual,2011,2011,USD,28799409999.999996,28799409999.999996,20601190000.0,20601190000.0,8198219999.999999,5532200000.0,4624530000.0,822880000.0,84790000.0,2666020000.0,-108419999.99999999,294680000.0,323870000.0,29189999.999999996,-403100000.0,2774440000.0,742260000.0,2032179999.9999998,,,2032179999.9999998,,2032179999.9999998,2032179999.9999998,2666020000.0,9.257203532989045,1369150000.0,2666020000.0,28.46662483710604,9.257203532989045,7.05632511221584,1296870000.0,1982718239.9999998,1.024946439187446,1.024946439187446,2066740959.9999998,0.9832775559836003,0.9832775559836003,0.09674597032001885,Michelin,,
GT,2025-12-31,annual,2025,2025,USD,18280000000.0,18280000000.0,14909000000.0,14909000000.0,3371000000.0,2719000000.0,2719000000.0,,,652000000.0,785000000.0,408000000.0,445000000.0,37000000.0,377000000.0,-133000000.0,1567000000.0,-1700000000.0,42000000.0,42000000.0,-1742000000.0,-21000000.0,-1721000000.0,-1721000000.0,1697000000.0,9.283369803063458,652000000.0,652000000.0,18.440919037199123,3.5667396061269145,-9.414660831509847,1045000000.0,,,,,,,,Goodyear,,
GT,2024-12-31,annual,2024,2024,USD,18878000000.0,18878000000.0,15192000000.0,15192000000.0,3686000000.0,2782000000.0,2782000000.0,,,904000000.0,774000000.0,468000000.0,522000000.0,54000000.0,306000000.0,130000000.0,95000000.0,35000000.0,-22000000.0,-22000000.0,57000000.0,11000000.0,46000000.0,46000000.0,1953000000.0,10.345375569445917,904000000.0,904000000.0,19.52537345057739,4.788642864710245,0.2436698802839284,1049000000.0,287000000.0,0.1602787456445993,0.12195121951219512,288000000.0,0.1597222222222222,0.12152777777777778,,Goodyear,,
GT,2023-12-31,annual,2023,2023,USD,20066000000.0,20066000000.0,16582000000.0,16582000000.0,3484000000.0,2814000000.0,2814000000.0,,,670000000.0,1391000000.0,448000000.0,532000000.0,84000000.0,943000000.0,-721000000.0,10000000.0,-731000000.0,-4000000.0,-4000000.0,-727000000.0,2000000.0,-729000000.0,-729000000.0,1671000000.0,8.327519186683944,670000000.0,670000000.0,17.36270307983654,3.338981361507027,-3.6330110634904815,1001000000.0,285000000.0,-2.557894736842105,-2.5649122807017544,285000000.0,-2.557894736842105,-2.5649122807017544,,Goodyear,,
GT,2022-12-31,annual,2022,2022,USD,20805000000.0,20805000000.0,16953000000.0,16953000000.0,3852000000.0,2798000000.0,2798000000.0,,,1054000000.0,655000000.0,417000000.0,451000000.0,34000000.0,238000000.0,399000000.0,190000000.0,209000000.0,14000000.0,14000000.0,195000000.0,-7000000.0,202000000.0,202000000.0,2018000000.0,9.699591444364335,1054000000.0,1054000000.0,18.514780100937276,5.066089882239846,0.9709204518144677,964000000.0,284000000.0,0.7112676056338029,0.7359154929577465,286000000.0,0.7062937062937062,0.7307692307692307,,Goodyear,,
GT,2021-12-31,annual,2021,2021,USD,17478000000.0,17478000000.0,13692000000.0,13692000000.0,3786000000.0,2699000000.0,2699000000.0,,,1087000000.0,574000000.0,315000000.0,387000000.0,72000000.0,259000000.0,513000000.0,-267000000.0,780000000.0,32000000.0,32000000.0,748000000.0,-16000000.0,764000000.0,764000000.0,1970000000.0,11.271312507151848,1087000000.0,1087000000.0,21.661517336079644,6.219247053438608,4.371209520540107,883000000.0,261000000.0,2.9272030651340994,2.9885057471264367,264000000.0,2.893939393939394,2.9545454545454546,,Goodyear,,
