ticker,date,period,period_label,fiscal_year,currency,return_com_eqy,return_on_asset,return_on_cap,return_on_inv_capital,gross_margin,ebitda_margin,oper_margin,incremental_operating_margin,pretax_inc_to_net_sales,profit_margin,net_income_to_common_margin,eff_tax_rate,dvd_payout_ratio,sustain_growth_rt,company
MGDDY,2025-12-31,annual,2025,2025,EUR,9.871931696905015,4.601354152273041,8.075416414724652,7.3972622883958765,27.00446291166513,10.095413973530317,10.095413973530317,46.877601998334725,8.687288396429672,6.405817174515235,6.405817174515235,26.306465899025685,58.56885147324113,4.090054683804904,Michelin
MGDDY,2024-12-31,annual,2024,2024,EUR,11.784206411258797,5.193874315960688,9.241462151985392,9.51994185078924,28.492626778950466,11.719927922627146,11.719927922627146,22.52173913043478,8.991284521751922,6.9282535946751,6.9282535946751,22.699386503067483,50.68565400843882,5.811304322007898,Michelin
MGDDY,2023-12-31,annual,2023,2023,EUR,13.174328992824874,5.622262230475894,10.492049020351585,10.956998296421668,28.042197367956813,12.158204847757824,12.158204847757824,-127.93522267206478,8.78523797763116,6.996436509896624,6.996436509896624,20.36144578313253,45.03277861825517,7.241562583045443,Michelin
MGDDY,2022-12-31,annual,2022,2022,EUR,14.682466889239462,5.726141078838174,10.638316758085457,9.727126216816979,26.365862189576774,10.947883875480938,10.947883875480938,3.149113660062565,9.289961525008744,6.998950682056663,6.998950682056663,24.359939759036145,39.811601388200295,8.837141697340956,Michelin
MGDDY,2021-12-31,annual,2021,2021,EUR,28.129051941118142,5.572596364515495,13.770276775721577,9.804094437625212,29.354906492960705,12.519436856482455,12.519436856482455,37.0414912808178,10.38453456608531,7.749527211599075,7.749527211599075,25.333872925940916,22.21018418201517,21.88153769634109,Michelin
MGDDY,2020-12-31,annual,2020,2020,EUR,177.03081232492997,1.9963989007170608,10.128635513319624,5.241053668389563,27.920269676095558,8.534857589525624,8.534857589525624,34.47899618112384,4.782842346963701,3.0875958766915823,3.0875958766915823,36.15934627170582,57.76699029126213,74.76544015664518,Michelin
MGDDY,2019-12-31,annual,2019,2019,EUR,488.42398884239884,5.666391599113312,29.689113696070006,11.839003211217374,29.343277397969754,12.475657758442097,12.475657758442097,13.194114855244424,9.264553552931428,7.255023824321524,7.255023824321524,22.62969588550984,38.91164423639555,298.3701839388323,Michelin
MGDDY,2018-12-31,annual,2018,2018,EUR,466.481223922114,6.0549166862238915,38.79418879348149,12.265210666627734,29.557835482113674,12.406936626112222,12.406936626112222,-25.0,10.12347920828037,7.613037951697839,7.613037951697839,25.56053811659193,38.77054169202678,285.623926515914,Michelin
MGDDY,2017-12-31,annual,2017,2017,EUR,472.8789986091794,6.720828638636858,59.598885288854056,13.840474026016494,32.53642987249545,12.522768670309652,12.522768670309652,-23.741690408357073,10.719489981785063,7.741347905282331,7.741347905282331,28.079864061172472,34.63819691577699,309.08223989757755,Michelin
MGDDY,2016-12-31,annual,2016,2016,EUR,462.98342541436466,6.810931626536624,58.06340312185158,15.097456937379578,33.94556846989047,14.349261013057827,14.349261013057827,-137.67123287671234,11.78552637872483,8.016453819294973,8.016453819294973,32.34577922077922,31.06151990349819,319.17373657938407,Michelin
MGDDY,2015-12-31,annual,2015,2015,EUR,317.82312925170066,5.042851283379746,47.15250762289616,12.941808455431875,32.83645454974291,12.255295061087788,12.255295061087788,35.84447144592953,8.816453606302185,5.509693853483655,5.509693853483655,37.77421080791867,39.98272884283247,190.7487692831882,Michelin
MGDDY,2014-12-31,annual,2014,2014,EUR,277.5235531628533,4.782891074410837,45.78893507073573,10.415614224495204,31.984861658057586,10.269523858231473,10.269523858231473,30.69164265129683,8.443717076663427,5.272848156293152,5.272848156293152,37.552998182919445,45.00484966052376,152.62449528936745,Michelin
MGDDY,2013-12-31,annual,2013,2013,EUR,305.8344640434193,5.335921594621467,41.7918556718812,12.169318677386528,31.639255198300983,10.969526349582654,10.969526349582654,23.390383048084757,8.406183632143033,5.566256729392008,5.566256729392008,33.78378378378378,16.770186335403725,254.5454545454546,Michelin
MGDDY,2012-12-31,annual,2012,2012,EUR,411.0344827586207,7.020354315868828,44.546313859988636,13.889310924813591,31.24708950358573,11.679240011176306,11.679240011176306,78.1456953642384,10.184409052808046,6.938623451615908,6.938623451615908,31.824417009602193,19.369973190348524,331.41721364518816,Michelin
MGDDY,2011-12-31,annual,2011,2011,EUR,410.0981767180926,7.225640645464206,72.93564121765979,14.158404993408336,28.46662483710604,9.257203532989045,9.257203532989045,5.905233380480905,9.633669578647618,7.05632511221584,7.05632511221584,26.753507014028056,9.439124487004104,371.38849929873777,Michelin
GT,2025-12-31,annual,2025,2025,USD,-38.19351975144252,-8.796544762196836,,,18.440919037199123,9.283369803063458,3.5667396061269145,42.14046822742475,-0.7275711159737418,-9.414660831509847,-9.414660831509847,,,-38.19351975144252,Goodyear
GT,2024-12-31,annual,2024,2024,USD,0.856929955290611,0.21645530903700916,1.3871108878481955,1.8089458202431554,19.52537345057739,10.345375569445917,4.788642864710245,-19.696969696969695,0.6886322703676236,0.2436698802839284,0.2436698802839284,73.07692307692308,,0.856929955290611,Goodyear
GT,2023-12-31,annual,2023,2023,USD,-12.758137906895344,-3.3126576238838523,,,17.36270307983654,8.327519186683944,3.338981361507027,51.96211096075778,-3.593142629323234,-3.6330110634904815,-3.6330110634904815,,,-12.758137906895344,Goodyear
GT,2022-12-31,annual,2022,2022,USD,3.3912532527490975,0.9216800127757626,2.9143616627566074,3.979781856876828,18.514780100937276,9.699591444364335,5.066089882239846,-0.9918845807033363,1.9178082191780823,0.9709204518144677,0.9709204518144677,47.61904761904762,,3.3912532527490975,Goodyear
GT,2021-12-31,annual,2021,2021,USD,14.022207947141416,4.030811438218845,,,21.661517336079644,11.271312507151848,6.219247053438608,25.111498933488463,2.9351184346035017,4.371209520540107,4.371209520540107,,,14.022207947141416,Goodyear
GT,2020-12-31,annual,2020,2020,USD,-22.0231822971549,-7.444124543646671,,,16.102589075562047,5.283662040418797,-1.688174661147634,,-9.252495738982224,-10.177745312880448,-10.177745312880448,,-2.969502407704655,-22.677161225722102,Goodyear
GT,2019-12-31,annual,2019,2019,USD,-4.721062618595825,-1.8263499427430485,-6.923677706635775,-12.690760038644445,21.3157002373686,10.95286537809427,5.561207188877586,52.32876712328767,1.200406917599186,-2.109189555781621,-2.109189555781621,267.79661016949154,-52.29681978798587,-7.190028228320851,Goodyear
GT,2018-12-31,annual,2018,2018,USD,10.569663692518874,4.084158415841585,7.2056449215860745,7.947473696434532,22.707592891760903,12.794830371567043,7.767366720516963,-220.4081632653061,6.5331179321486275,4.4781906300484655,4.4781906300484655,29.97032640949555,19.08713692946058,8.552217510544317,Goodyear
GT,2017-12-31,annual,2017,2017,USD,5.60596241088788,2.061057334326135,3.882794486024183,5.732640975651035,24.0424009884893,14.300578786499319,9.221564674513884,-180.82191780821915,5.709826364050205,2.2501138063341353,2.2501138063341353,58.428246013667426,28.645833333333332,4.000087761935623,Goodyear
